Data File Name,2100 expert_High Sensitivity DNA Assay_DE13805071_2013-11-18_15-35-14.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\data\2013-11-18
Date Created,"Monday, November 18, 2013 2:35:13 PM"
Date Last Modified,"Monday, November 18, 2013 4:45:26 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,CGN2_H3K79me2_ChIP
Number of Events,2121
 
Time,Value
32,0.2786102
32.05,0.2786102
32.1,0.2786102
32.15,0.2786102
32.2,0.2361258
32.25,0.2143474
32.3,0.2530387
32.35,0.3130773
32.4,0.2006145
32.45,0.118402
32.5,1.750285E-02
32.55,-0.1841492
32.6,-0.2778011
32.65,-0.2855396
32.7,-0.1316502
32.75,-0.0327771
32.8,-1.055391E-02
32.85,5.203403E-02
32.9,5.009126E-02
32.95,-6.626657E-02
33,-0.0912893
33.05,-0.1430368
33.1,-9.361723E-02
33.15,-6.551728E-02
33.2,5.169722E-02
33.25,0.2275715
33.3,0.2364794
33.35,0.1477053
33.4,6.431501E-02
33.45,4.121777E-02
33.5,0.0253046
33.55,-8.052032E-03
33.6,1.777034E-02
33.65,2.916181E-02
33.7,1.513062E-02
33.75,7.004096E-02
33.8,9.117086E-02
33.85,0.157628
33.9,0.1237462
33.95,0.1476725
34,0.181186
34.05,0.2779999
34.1,0.2543269
34.15,0.2868979
34.2,0.3093375
34.25,0.3135834
34.3,0.2532173
34.35,0.2148174
34.4,0.1206102
34.45,0.1455324
34.5,0.1585867
34.55,0.2796126
34.6,0.2900603
34.65,0.3470944
34.7,0.3226453
34.75,0.2551466
34.8,0.2153521
34.85,0.2400582
34.9,0.1887595
34.95,0.1976292
35,0.2455667
35.05,0.281319
35.1,0.2127779
35.15,0.1480071
35.2,8.328017E-02
35.25,9.442712E-02
35.3,0.1905672
35.35,0.2454911
35.4,0.2834497
35.45,0.2768748
35.5,0.2611702
35.55,0.1928256
35.6,0.1212491
35.65,0.1521106
35.7,0.1213519
35.75,0.1544419
35.8,0.1528815
35.85,9.790271E-02
35.9,6.668107E-02
35.95,-7.964729E-03
36,-2.862426E-03
36.05,7.750259E-03
36.1,6.502981E-02
36.15,0.1829454
36.2,0.2400354
36.25,0.3028968
36.3,0.3374959
36.35,0.4551163
36.4,0.5977918
36.45,0.6859847
36.5,0.6775345
36.55,0.5555279
36.6,0.3761632
36.65,0.1910193
36.7,0.1828796
36.75,0.3251039
36.8,0.4215038
36.85,0.4383366
36.9,0.3498357
36.95,0.3391267
37,0.3986878
37.05,0.5332442
37.1,0.6473319
37.15,0.6890216
37.2,0.7221197
37.25,0.7042934
37.3,0.6431459
37.35,0.6203833
37.4,0.6719992
37.45,0.6858931
37.5,0.610487
37.55,0.5902617
37.6,0.5860574
37.65,0.5758904
37.7,0.6217706
37.75,0.6711189
37.8,0.7287683
37.85,0.7647547
37.9,0.8084533
37.95,0.895198
38,0.9506773
38.05,1.053635
38.1,1.285172
38.15,1.491873
38.2,1.576627
38.25,1.52418
38.3,1.317139
38.35,1.000671
38.4,0.7581903
38.45,0.7179868
38.5,0.8738641
38.55,1.056015
38.6,1.138528
38.65,1.159002
38.7,1.146702
38.75,1.136852
38.8,1.166537
38.85,1.16569
38.9,1.153018
38.95,1.091196
39,0.9725721
39.05,0.9884816
39.1,1.162366
39.15,1.347054
39.2,1.416812
39.25,1.48675
39.3,1.630061
39.35,1.731549
39.4,1.732741
39.45,1.703499
39.5,1.671127
39.55,1.617335
39.6,1.594627
39.65,1.692222
39.7,1.735366
39.75,1.723418
39.8,1.762861
39.85,1.840608
39.9,1.952201
39.95,2.007523
40,1.996896
40.05,1.993956
40.1,2.070004
40.15,2.203168
40.2,2.309869
40.25,2.31461
40.3,2.319426
40.35,2.302063
40.4,2.368502
40.45,2.516821
40.5,2.557174
40.55,2.380149
40.6,2.203899
40.65,2.101549
40.7,2.175871
40.75,2.216883
40.8,2.257087
40.85,2.265923
40.9,2.153704
40.95,1.900418
41,1.773887
41.05,1.659426
41.1,1.529585
41.15,1.446298
41.2,1.432146
41.25,1.500367
41.3,1.531457
41.35,1.540707
41.4,1.592372
41.45,1.54271
41.5,1.536164
41.55,1.446159
41.6,1.453529
41.65,1.539901
41.7,1.672785
41.75,1.719586
41.8,1.711774
41.85,1.681782
41.9,1.590085
41.95,1.542412
42,1.675959
42.05,1.648602
42.1,1.682657
42.15,1.593231
42.2,1.553432
42.25,1.441167
42.3,1.339377
42.35,1.342057
42.4,1.447052
42.45,1.688702
42.5,2.225426
42.55,3.545974
42.6,6.530767
42.65,12.20879
42.7,22.35011
42.75,38.70548
42.8,60.96986
42.85,88.13901
42.9,115.8252
42.95,138.1778
43,149.855
43.05,147.5285
43.1,132.0258
43.15,107.5221
43.2,79.3459
43.25,53.38078
43.3,32.61971
43.35,18.36475
43.4,10.14922
43.45,6.047303
43.5,4.462543
43.55,4.056028
43.6,3.821342
43.65,3.653746
43.7,3.526624
43.75,3.377748
43.8,3.349093
43.85,3.304577
43.9,3.189887
43.95,3.158288
44,3.17644
44.05,3.327803
44.1,3.334599
44.15,3.234083
44.2,3.081519
44.25,2.911199
44.3,2.812427
44.35,2.907298
44.4,2.976694
44.45,3.04522
44.5,2.99911
44.55,2.932495
44.6,2.781418
44.65,2.600176
44.7,2.513913
44.75,2.502982
44.8,2.572556
44.85,2.793377
44.9,2.929301
44.95,2.985028
45,2.995555
45.05,2.995177
45.1,3.075702
45.15,3.150796
45.2,3.19063
45.25,3.220287
45.3,3.228029
45.35,3.324542
45.4,3.483253
45.45,3.660984
45.5,3.748439
45.55,3.811954
45.6,3.864078
45.65,3.951338
45.7,4.053823
45.75,4.151863
45.8,4.238168
45.85,4.286492
45.9,4.300242
45.95,4.393098
46,4.445922
46.05,4.42974
46.1,4.379924
46.15,4.40737
46.2,4.526963
46.25,4.626474
46.3,4.758929
46.35,4.914837
46.4,4.972395
46.45,4.997929
46.5,5.082893
46.55,5.17519
46.6,5.267392
46.65,5.348697
46.7,5.47305
46.75,5.636759
46.8,5.730882
46.85,5.872513
46.9,6.052875
46.95,6.182841
47,6.324086
47.05,6.466211
47.1,6.578912
47.15,6.674208
47.2,6.786129
47.25,6.888437
47.3,6.968676
47.35,7.09368
47.4,7.255548
47.45,7.424881
47.5,7.567726
