% run  T(K) B(G)  baAmp e  baDeLo e  baDeGa e  stAmp e  stGau e  stPhi e  stDecR e  stBeta e 
1677 0.1 0 0.01844 0.006 0 0 0 0 0.4066 0.01 0 0 0 0 1000 0.6 0.1303 0.01
1679 0.1 1000 0.02 0 0 0 0 0 0.1148 0.02 0 0 0 0 9.775 4 0.3481 0.04
1681 0.1 2000 0.02 0 0 0 0 0 0.2276 0.1 0 0 0 0 106.3 3e+002 0.1518 0.04
1691 0.1 5000 -0.00365 0.004 0 0 0 0 0.1654 0.007 0 0 0 0 0.04316 0.01 0.1886 0.01
1697 0.1 6500 -0.00343 0.004 0 0 0 0 0.178 0.006 0 0 0 0 0.03079 0.007 0.1898 0.01
