   2.0000000e+00   3.1811558e-07   4.6928682e-01
   2.4615400e+00   2.9814336e-07   6.8275681e-01
   2.9230800e+00   4.3469304e-07   9.9999935e-01
   3.3846200e+00   1.2476722e-06   6.3681985e-01
   3.8461500e+00   2.0061538e-06   9.9999522e-01
   4.3076900e+00   7.5989413e-07   7.0996553e-01
   4.7692300e+00   6.5305923e-07   9.9999905e-01
   5.2307700e+00   2.5649664e-07   5.4181579e-01
   5.6923100e+00   7.4846740e-08   4.9808252e-01
   6.1538500e+00   3.6229785e-08   4.6947729e-01
   6.6153800e+00   2.0724690e-08   1.9724558e-01
   7.0769200e+00   1.2864578e-08   8.9172432e-02
   7.5384600e+00   1.0587221e-08   1.0280332e-01
   8.0000000e+00   2.4543597e-08   1.3912638e-01
   8.4615400e+00   6.1557209e-08   3.3370789e-01
   8.9230800e+00   1.6455489e-07   1.0709289e-01
   9.3846100e+00   2.4256990e-07   3.2009259e-01
   9.8461500e+00   3.0201058e-07   4.6798418e-01
   1.0307700e+01   3.8854756e-07   6.6574348e-01
   1.0769200e+01   2.9852352e-07   3.8237070e-01
   1.1230800e+01   2.0663473e-07   2.1444381e-01
   1.1692300e+01   1.3082305e-07   5.5180653e-01
   1.2153800e+01   6.1747720e-08   2.5956087e-01
   1.2615400e+01   8.3335730e-08   7.4088893e-02
   1.3076900e+01   1.9722755e-07   4.1335819e-01
   1.3538500e+01   2.9384125e-07   9.9995538e-01
   1.4000000e+01   4.0615480e-07   3.1922725e-01
   1.4461500e+01   3.6645604e-07   9.9996559e-01
   1.4923100e+01   5.6390908e-07   4.0169167e-01
   1.5384600e+01   3.0009224e-07   5.2906255e-01
   1.5846200e+01   1.0274396e-07   4.4335471e-01
   1.6307700e+01   7.2611571e-08   9.9996472e-01
