  3.2000000e+001  6.8653162e+002	1
  3.1600000e+001  4.6592948e+002	1
  3.1200000e+001  3.4674523e+002	1
  3.0800000e+001  3.9917995e+002	1
  3.0400000e+001  3.9610360e+002	1
  3.0000000e+001  5.2465430e+002	1
  2.9600000e+001  2.9772398e+002	1
  2.9200000e+001  6.6254267e+002	1
  2.8800000e+001  5.8165657e+002	1
  2.8400000e+001  4.4377098e+002	1
  2.8000000e+001  3.0807316e+002	1
  2.7600000e+001  4.3199712e+002	1
  2.7200000e+001  4.6180929e+002	1
  2.6800000e+001  6.5486352e+002	1
  2.6400000e+001  5.3724094e+002	1
  2.6000000e+001  3.9037093e+002	1
  2.5600000e+001  5.4275394e+002	1
