  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  2.6307154e+001  1.2863915e+001  1.1505232e+001  1.5679291e+000  0.0000000e+000  4.2883889e+001  2.0321911e+001  2.3302133e+001  8.9768016e-001  0.0000000e+000  7.8921461e+001  3.8591745e+001  3.4515696e+001  4.7037874e+000
  1.0000000e-001  2.4060000e-001  2.4060000e-001  2.4060000e-001  2.4060000e-001  1.0000000e-001  2.6066554e+001  1.3104515e+001  1.1264632e+001  1.8085291e+000  1.0000000e-001  4.2643289e+001  2.0562511e+001  2.3061533e+001  6.5708016e-001  1.0000000e-001  7.8680861e+001  3.8832345e+001  3.4275096e+001  4.9443874e+000
  2.0000000e-001  4.8120000e-001  4.8120000e-001  4.8120000e-001  4.8120000e-001  2.0000000e-001  2.5825954e+001  1.3345115e+001  1.1024032e+001  2.0491291e+000  2.0000000e-001  4.2402689e+001  2.0803111e+001  2.2820933e+001  4.1648016e-001  2.0000000e-001  7.8440261e+001  3.9072945e+001  3.4034496e+001  5.1849874e+000
  3.0000000e-001  7.2180000e-001  7.2180000e-001  7.2180000e-001  7.2180000e-001  3.0000000e-001  2.5585354e+001  1.3585715e+001  1.0783432e+001  2.2897291e+000  3.0000000e-001  4.2162089e+001  2.1043711e+001  2.2580333e+001  1.7588016e-001  3.0000000e-001  7.8199661e+001  3.9313545e+001  3.3793896e+001  5.4255874e+000
  4.0000000e-001  9.6240000e-001  9.6240000e-001  9.6240000e-001  9.6240000e-001  4.0000000e-001  2.5344754e+001  1.3826315e+001  1.0542832e+001  2.5303291e+000  4.0000000e-001  4.1921489e+001  2.1284311e+001  2.2339733e+001  6.4719840e-002  4.0000000e-001  7.7959061e+001  3.9554145e+001  3.3553296e+001  5.6661874e+000
  5.0000000e-001  1.2030000e+000  1.2030000e+000  1.2030000e+000  1.2030000e+000  5.0000000e-001  2.5104154e+001  1.4066915e+001  1.0302232e+001  2.7709291e+000  5.0000000e-001  4.1680889e+001  2.1524911e+001  2.2099133e+001  3.0531984e-001  5.0000000e-001  7.7718461e+001  3.9794745e+001  3.3312696e+001  5.9067874e+000
  6.0000000e-001  1.4436000e+000  1.4436000e+000  1.4436000e+000  1.4436000e+000  6.0000000e-001  2.4863554e+001  1.4307515e+001  1.0061632e+001  3.0115291e+000  6.0000000e-001  4.1440289e+001  2.1765511e+001  2.1858533e+001  5.4591984e-001  6.0000000e-001  7.7477861e+001  4.0035345e+001  3.3072096e+001  6.1473874e+000
  7.0000000e-001  1.6842000e+000  1.6842000e+000  1.6842000e+000  1.6842000e+000  7.0000000e-001  2.4622954e+001  1.4548115e+001  9.8210320e+000  3.2521291e+000  7.0000000e-001  4.1199689e+001  2.2006111e+001  2.1617933e+001  7.8651984e-001  7.0000000e-001  7.7237261e+001  4.0275945e+001  3.2831496e+001  6.3879874e+000
  8.0000000e-001  1.9248000e+000  1.9248000e+000  1.9248000e+000  1.9248000e+000  8.0000000e-001  2.4382354e+001  1.4788715e+001  9.5804320e+000  3.4927291e+000  8.0000000e-001  4.0959089e+001  2.2246711e+001  2.1377333e+001  1.0271198e+000  8.0000000e-001  7.6996661e+001  4.0516545e+001  3.2590896e+001  6.6285874e+000
  9.0000000e-001  2.1654000e+000  2.1654000e+000  2.1654000e+000  2.1654000e+000  9.0000000e-001  2.4141754e+001  1.5029315e+001  9.3398320e+000  3.7333291e+000  9.0000000e-001  4.0718489e+001  2.2487311e+001  2.1136733e+001  1.2677198e+000  9.0000000e-001  7.6756061e+001  4.0757145e+001  3.2350296e+001  6.8691874e+000
  1.0000000e+000  2.4060000e+000  2.4060000e+000  2.4060000e+000  2.4060000e+000  1.0000000e+000  2.3901154e+001  1.5269915e+001  9.0992320e+000  3.9739291e+000  1.0000000e+000  4.0477889e+001  2.2727911e+001  2.0896133e+001  1.5083198e+000  1.0000000e+000  7.6515461e+001  4.0997745e+001  3.2109696e+001  7.1097874e+000
  1.1000000e+000  2.6466000e+000  2.6466000e+000  2.6466000e+000  2.6466000e+000  1.1000000e+000  2.3660554e+001  1.5510515e+001  8.8586320e+000  4.2145291e+000  1.1000000e+000  4.0237289e+001  2.2968511e+001  2.0655533e+001  1.7489198e+000  1.1000000e+000  7.6274861e+001  4.1238345e+001  3.1869096e+001  7.3503874e+000
  1.2000000e+000  2.8872000e+000  2.8872000e+000  2.8872000e+000  2.8872000e+000  1.2000000e+000  2.3419954e+001  1.5751115e+001  8.6180320e+000  4.4551291e+000  1.2000000e+000  3.9996689e+001  2.3209111e+001  2.0414933e+001  1.9895198e+000  1.2000000e+000  7.6034261e+001  4.1478945e+001  3.1628496e+001  7.5909874e+000
  1.3000000e+000  3.1278000e+000  3.1278000e+000  3.1278000e+000  3.1278000e+000  1.3000000e+000  2.3179354e+001  1.5991715e+001  8.3774320e+000  4.6957291e+000  1.3000000e+000  3.9756089e+001  2.3449711e+001  2.0174333e+001  2.2301198e+000  1.3000000e+000  7.5793661e+001  4.1719545e+001  3.1387896e+001  7.8315874e+000
  1.4000000e+000  3.3684000e+000  3.3684000e+000  3.3684000e+000  3.3684000e+000  1.4000000e+000  2.2938754e+001  1.6232315e+001  8.1368320e+000  4.9363291e+000  1.4000000e+000  3.9515489e+001  2.3690311e+001  1.9933733e+001  2.4707198e+000  1.4000000e+000  7.5553061e+001  4.1960145e+001  3.1147296e+001  8.0721874e+000
