% run  T(K) B(G)  dalpha e  muAmp e  muGau e  muPhi e  muDeLo e  muDeGa e 
1676 0.019 0 0 0 0 0 0 0 0 0 0 0 0 0
4534 250 30 -0.004198 0.001 0.2444 0.002 28.24 0.05 10.99 0.5 0.1118 0.004 5.556e-006 0.03
