1.8	1.587	0.63012	0.06301
2.2	0.498	2.00803	0.2008
3.5	0.182	5.49451	0.54945
4.2	0.14529	6.88279	0.68828
5.7	0.126	7.93651	0.79365
6.2	0.1074	9.31099	0.9311
7.4	0.09671	10.34019	1.03402
8.6	0.0845	11.83432	1.18343
10	0.0772	12.95337	1.29534
12.3	0.0845	11.83432	1.18343
14.8	0.10582	9.45001	0.945
16.7	0.12363	8.08865	0.80887
19	0.14023	7.13106	0.71311
21	0.16337	6.12107	0.61211
24.2	0.16605	6.02243	0.60224
26.5	0.19301	5.18105	0.51811
30	0.19536	5.11876	0.51188
34	0.2103	4.7552	0.47552
35.7	0.2102	4.75731	0.47573
41.6	0.20763	4.81638	0.48164
46.3	0.20459	4.88785	0.48878
52.4	0.1963	5.09424	0.50942
56	0.19632	5.09375	0.50938
62	0.18448	5.42064	0.54206
74	0.16974	5.89119	0.58912
83	0.16104	6.20968	0.62097
98.5	0.154	6.49351	0.64935
122	0.141	7.0922	0.70922
160	0.137	7.29927	0.72993
200	0.1245	8.03213	0.80321
250	0.1213	8.24402	0.8244
290	0.128	7.8125	0.78125
296	0.14762	6.77415	0.67742
