Data File Name,2100 expert_High Sensitivity DNA Assay_DE13805071_2013-12-03_10-55-45.xad
Data File Path,C:\Users\Laura\Documents\ARTICLE\05_different cells\adipocytes mouse\shearing
Date Created,"Tuesday, December 03, 2013 9:55:45 AM"
Date Last Modified,"Tuesday, December 03, 2013 10:37:03 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,+
Number of Events,2121
 
Time,Value
46.1,6.260042
46.15,6.348876
46.2,6.671224
46.25,6.997408
46.3,7.163305
46.35,7.250998
46.4,7.447425
46.45,7.559162
46.5,7.76551
46.55,7.829801
46.6,7.746908
46.65,7.737733
46.7,7.933473
46.75,8.326579
46.8,8.583008
46.85,8.817623
46.9,8.809472
46.95,8.787416
47,8.973926
47.05,9.172419
47.1,9.412049
47.15,9.533556
47.2,9.548312
47.25,9.654112
47.3,9.843205
47.35,10.05824
47.4,10.2114
47.45,10.54515
47.5,10.76772
47.55,10.82343
47.6,10.9423
47.65,11.09081
47.7,11.13115
47.75,11.2134
47.8,11.44002
47.85,11.73219
47.9,11.99261
47.95,12.23578
48,12.37298
48.05,12.55251
48.1,12.81657
48.15,12.99703
48.2,13.22393
48.25,13.38468
48.3,13.49609
48.35,13.5579
48.4,13.77383
48.45,14.05978
48.5,14.27353
48.55,14.52159
48.6,14.54795
48.65,14.61174
48.7,14.70235
48.75,14.90188
48.8,15.02649
48.85,15.12257
48.9,15.22324
48.95,15.50107
49,15.93007
49.05,16.17438
49.1,16.31979
49.15,16.24335
49.2,16.15028
49.25,16.22919
49.3,16.61372
49.35,16.97857
49.4,17.30655
49.45,17.69373
49.5,17.82856
49.55,17.78007
49.6,17.9125
49.65,18.16994
49.7,18.42648
49.75,18.70416
49.8,18.9483
49.85,18.97812
49.9,18.98365
49.95,19.12402
50,19.22986
50.05,19.42515
50.1,19.74684
50.15,19.91448
50.2,20.16903
50.25,20.25594
50.3,20.53941
50.35,20.5198
50.4,20.63734
50.45,20.9441
50.5,21.24489
50.55,21.66307
50.6,21.93793
50.65,22.07085
50.7,22.01093
50.75,22.12654
50.8,22.11904
50.85,22.31183
50.9,22.64173
50.95,22.98821
51,23.13911
51.05,23.30951
51.1,23.40946
51.15,23.59768
51.2,23.89874
51.25,24.11545
51.3,24.32108
51.35,24.43618
51.4,24.63418
51.45,24.69797
51.5,24.72028
51.55,24.91274
51.6,25.18435
51.65,25.64653
51.7,26.0699
51.75,26.30699
51.8,26.14159
51.85,25.96421
51.9,26.11434
51.95,26.36359
52,26.69981
52.05,27.06671
52.1,27.35603
52.15,27.45663
52.2,27.53744
52.25,27.75845
52.3,27.89992
52.35,28.04457
52.4,28.31184
52.45,28.42194
52.5,28.42856
52.55,28.38773
52.6,28.56019
52.65,28.82102
52.7,29.09904
52.75,29.32692
52.8,29.51804
52.85,29.473
52.9,29.5006
52.95,29.4825
53,29.78443
53.05,30.22874
53.1,30.5393
53.15,30.59507
53.2,30.40465
53.25,30.25319
53.3,30.2803
53.35,30.83793
53.4,31.44019
53.45,31.7887
53.5,31.8931
53.55,32.11165
53.6,32.21556
53.65,32.34445
53.7,32.38693
53.75,32.3873
53.8,32.44048
53.85,32.5529
53.9,32.68011
53.95,32.77807
54,32.96333
54.05,33.24853
54.1,33.55173
54.15,33.68721
54.2,33.77204
54.25,33.90853
54.3,34.09675
54.35,34.25905
54.4,34.44659
54.45,34.64325
54.5,34.54889
54.55,34.44693
54.6,34.68691
54.65,34.91191
54.7,35.27168
54.75,35.55303
54.8,35.69659
54.85,35.6646
54.9,35.69918
54.95,36.02427
55,36.11457
55.05,36.6226
55.1,36.96052
55.15,36.98491
55.2,36.97279
55.25,37.01892
55.3,36.8177
55.35,36.66225
55.4,36.94271
55.45,37.26703
55.5,37.25316
55.55,37.48105
55.6,37.69648
55.65,37.70463
55.7,38.0479
55.75,38.24961
55.8,38.44913
55.85,38.51455
55.9,38.75282
55.95,38.92962
56,38.90582
56.05,38.54451
56.1,38.02812
56.15,37.83504
56.2,38.10962
56.25,38.94624
56.3,39.8852
56.35,40.32931
56.4,39.94626
56.45,39.57754
56.5,39.31312
56.55,39.40038
