Data File Name,2100 expert_High Sensitivity DNA Assay_DE13805071_2013-12-03_10-55-45.xad
Data File Path,C:\Users\Laura\Documents\ARTICLE\05_different cells\adipocytes mouse\shearing
Date Created,"Tuesday, December 03, 2013 9:55:45 AM"
Date Last Modified,"Tuesday, December 03, 2013 10:37:03 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,-
Number of Events,2121
 
Time,Value
45.95,6.157094
46,6.342616
46.05,6.483719
46.1,6.35005
46.15,6.350276
46.2,6.479212
46.25,6.796339
46.3,7.064634
46.35,7.17046
46.4,7.318298
46.45,7.451323
46.5,7.612495
46.55,7.92424
46.6,8.213119
46.65,8.349259
46.7,8.422626
46.75,8.444766
46.8,8.43433
46.85,8.402096
46.9,8.535248
46.95,8.8726
47,9.160209
47.05,9.552355
47.1,9.839904
47.15,10.12192
47.2,10.33285
47.25,10.48837
47.3,10.59837
47.35,10.40829
47.4,10.40883
47.45,10.61599
47.5,10.82801
47.55,10.96432
47.6,11.14529
47.65,11.36951
47.7,11.45452
47.75,11.51857
47.8,11.6058
47.85,11.58813
47.9,11.91375
47.95,12.44553
48,12.85137
48.05,13.09845
48.1,13.1756
48.15,13.32619
48.2,13.33922
48.25,13.47978
48.3,13.58174
48.35,13.73054
48.4,14.11173
48.45,14.34779
48.5,14.50505
48.55,14.58277
48.6,14.96084
48.65,15.36499
48.7,15.6321
48.75,15.78763
48.8,15.66199
48.85,15.5646
48.9,15.70534
48.95,15.93174
49,16.02374
49.05,15.95806
49.1,16.0882
49.15,16.25169
49.2,16.59065
49.25,16.89967
49.3,17.17039
49.35,17.29803
49.4,17.30758
49.45,17.54302
49.5,17.7387
49.55,18.06783
49.6,18.21953
49.65,18.35424
49.7,18.45652
49.75,18.55407
49.8,18.88461
49.85,19.12732
49.9,19.20837
49.95,18.98634
50,19.07676
50.05,19.21667
50.1,19.53165
50.15,19.94637
50.2,20.06409
50.25,20.33251
50.3,20.65231
50.35,21.18226
50.4,21.5755
50.45,21.8686
50.5,21.9066
50.55,21.85718
50.6,21.94136
50.65,22.12687
50.7,22.39615
50.75,22.6529
50.8,22.67216
50.85,22.63791
50.9,22.79638
50.95,23.13147
51,23.62666
51.05,23.92523
51.1,24.00584
51.15,23.87555
51.2,23.74792
51.25,23.77235
51.3,23.95477
51.35,24.15033
51.4,24.48621
51.45,24.9216
51.5,25.3096
51.55,25.48694
51.6,25.57059
51.65,25.61668
51.7,25.46323
51.75,25.54869
51.8,25.85918
51.85,26.17382
51.9,26.38394
51.95,26.53638
52,26.68384
52.05,26.82219
52.1,27.04773
52.15,27.15116
52.2,27.3357
52.25,27.23464
52.3,27.35088
52.35,27.82705
52.4,28.09027
52.45,28.10448
52.5,28.13052
52.55,28.18767
52.6,28.26881
52.65,28.60389
52.7,29.00238
52.75,29.175
52.8,29.29612
52.85,29.32607
52.9,29.34791
52.95,29.36453
53,29.40044
53.05,29.57628
53.1,29.6703
53.15,29.89509
53.2,30.26363
53.25,30.71204
53.3,31.03618
53.35,31.29826
53.4,31.31248
53.45,31.34678
53.5,31.41524
53.55,31.3799
53.6,31.35172
53.65,31.41511
53.7,31.32984
53.75,31.40312
53.8,31.4305
53.85,31.38314
53.9,31.54055
53.95,32.02122
54,32.43505
54.05,32.50334
54.1,32.56033
54.15,32.65252
54.2,32.58542
54.25,32.84048
54.3,33.18118
54.35,33.2613
54.4,33.23344
54.45,33.33718
54.5,33.42966
54.55,33.17892
54.6,33.20555
54.65,33.32899
54.7,33.6287
54.75,34.21129
54.8,34.95969
54.85,35.39573
54.9,35.3244
54.95,35.17892
55,35.14636
55.05,35.31005
55.1,35.14548
55.15,34.9824
55.2,34.95066
55.25,35.1448
55.3,35.49198
55.35,35.89876
55.4,36.11347
55.45,35.95348
55.5,36.08154
55.55,36.43627
55.6,36.48567
55.65,36.44407
55.7,36.48234
55.75,36.75003
55.8,37.39537
55.85,37.87256
55.9,37.9753
55.95,37.92517
56,37.89371
56.05,37.71713
56.1,37.67057
56.15,37.80453
56.2,37.65963
56.25,37.77607
56.3,38.1605
56.35,38.34586
56.4,38.2178
56.45,38.00771
56.5,37.82298
56.55,37.59107
56.6,37.69731
56.65,38.02194
56.7,38.36376
