% run  T(K) B(G)  baAmp e  baDeLo e  baDeGa e  stAmp e  stGau e  stPhi e  stDecR e  stBeta e 
1857 0.05 0.08 0.06295 0.01 50.1 1e+001 0 0 0.1742 0.002 0 0 0 0 0.04642 0.003 0.4 0
1858 0.08 0.08 0.06647 0.01 56.69 1e+001 0 0 0.1744 0.002 0 0 0 0 0.04366 0.003 0.4 0
1865 0.12 0.08 0.08095 0.01 71.65 1e+001 0 0 0.1773 0.002 0 0 0 0 0.05539 0.004 0.4 0
