% run  T(K) B(G)  baAmp e  baDeLo e  baDeGa e  stAmp e  stGau e  stPhi e  stDecR e  stBeta e 
1850 0.019 0 0.04959 0.007 24.12 7 0 0 0.1859 0.003 0 0 0 0 0.4841 0.03 0.4 0
1855 0.05 0 0.03744 0.005 14.2 4 0 0 0.1865 0.004 0 0 0 0 0.5055 0.03 0.4 0
1861 0.08 0 0.03385 0.004 7.075 2 0 0 0.1818 0.006 0 0 0 0 0.4005 0.04 0.4 0
1862 0.12 0 0.03418 0.005 11.11 6 0 0 0.1877 0.007 0 0 0 0 0.4473 0.05 0.4 0
