% run  T(K) B(G)  baAmp e  baDeLo e  baDeGa e  stAmp e  stGau e  stPhi e  stDecR e  stBeta e 
1851 0.019 0.01 0.05488 0.004 13.07 2 0 0 0.1631 0.003 0 0 0 0 0.2387 0.02 0.4 0
1854 0.05 0.01 0.05846 0.005 13.99 3 0 0 0.1631 0.003 0 0 0 0 0.2203 0.02 0.4 0
1860 0.08 0.01 0.05998 0.004 14 0 0 0 0.1645 0.002 0 0 0 0 0.1938 0.01 0.4 0
1863 0.12 0.01 0.06384 0.005 14.58 2 0 0 0.1678 0.003 0 0 0 0 0.2131 0.02 0.4 0
