% run  T(K) B(G)  baAmp e  baDeLo e  baDeGa e  stAmp e  stGau e  stPhi e  stDecR e  stBeta e 
1851 0.019 0.01 0.0007125 0.004 0.04537 0.7 0 0 0.4896 0.02 0 0 25.77 5 20.95 4 0.1506 0.005
1852 0.019 0.02 0.07534 0.006 23.17 3 0 0 0.1587 0.002 0 0 0 0 0.1281 0.008 0.4 0
1853 0.05 0.02 0.06368 0.006 23.93 3 0 0 0.1629 0.002 0 0 0 0 0.1503 0.009 0.4 0
1859 0.08 0.02 0.07191 0.007 23.76 4 0 0 0.1671 0.002 0 0 0 0 0.1354 0.009 0.4 0
1864 0.12 0.02 0.06403 0.006 19.51 3 0 0 0.1651 0.002 0 0 0 0 0.1331 0.01 0.4 0
